"Name";"File";"Extension";"Size";"Errors";"Warnings";"API";"Version";"Definition";"Output"
"AccountReconciliation.yaml";"C:\Projects\universal-api-center\labs\import-bian\.temp\release12.0.0\semantic-apis\oas3\yamls\AccountReconciliation.yaml";".yaml";"131550";"0";"26";"OK";"OK";"OK";"WARNING: This command is in preview and under development. Reference and support levels: https://aka.ms/CLI_refstatus
WARNING: API was created successfully
WARNING: API version was created successfully
WARNING: API definition was created successfully
WARNING: API specification was created successfully
"
"AccountRecovery.yaml";"C:\Projects\universal-api-center\labs\import-bian\.temp\release12.0.0\semantic-apis\oas3\yamls\AccountRecovery.yaml";".yaml";"59132";"0";"14";"OK";"OK";"OK";"WARNING: This command is in preview and under development. Reference and support levels: https://aka.ms/CLI_refstatus
WARNING: API was created successfully
WARNING: API version was created successfully
WARNING: API definition was created successfully
WARNING: API specification was created successfully
"
"AccountsReceivable.yaml";"C:\Projects\universal-api-center\labs\import-bian\.temp\release12.0.0\semantic-apis\oas3\yamls\AccountsReceivable.yaml";".yaml";"90412";"0";"25";"OK";"OK";"OK";"WARNING: This command is in preview and under development. Reference and support levels: https://aka.ms/CLI_refstatus
WARNING: API was created successfully
WARNING: API version was created successfully
WARNING: API definition was created successfully
WARNING: API specification was created successfully
"
"ACHOperations.yaml";"C:\Projects\universal-api-center\labs\import-bian\.temp\release12.0.0\semantic-apis\oas3\yamls\ACHOperations.yaml";".yaml";"84639";"0";"23";"OK";"OK";"OK";"WARNING: This command is in preview and under development. Reference and support levels: https://aka.ms/CLI_refstatus
WARNING: API was created successfully
WARNING: API version was created successfully
WARNING: API definition was created successfully
WARNING: API specification was created successfully
"
"AdvancedVoiceServicesManagement.yaml";"C:\Projects\universal-api-center\labs\import-bian\.temp\release12.0.0\semantic-apis\oas3\yamls\AdvancedVoiceServicesManagement.yaml";".yaml";"37681";"0";"14";"OK";"OK";"OK";"WARNING: This command is in preview and under development. Reference and support levels: https://aka.ms/CLI_refstatus
WARNING: API was created successfully
WARNING: API version was created successfully
WARNING: API definition was created successfully
WARNING: API specification was created successfully
"
"AdvancedVoiceServicesOperations.yaml";"C:\Projects\universal-api-center\labs\import-bian\.temp\release12.0.0\semantic-apis\oas3\yamls\AdvancedVoiceServicesOperations.yaml";".yaml";"33823";"0";"11";"OK";"OK";"OK";"WARNING: This command is in preview and under development. Reference and support levels: https://aka.ms/CLI_refstatus
WARNING: API was created successfully
WARNING: API version was created successfully
WARNING: API definition was created successfully
WARNING: API specification was created successfully
"
"Advertising.yaml";"C:\Projects\universal-api-center\labs\import-bian\.temp\release12.0.0\semantic-apis\oas3\yamls\Advertising.yaml";".yaml";"53820";"0";"19";"OK";"OK";"OK";"WARNING: This command is in preview and under development. Reference and support levels: https://aka.ms/CLI_refstatus
WARNING: API was created successfully
WARNING: API version was created successfully
WARNING: API definition was created successfully
WARNING: API specification was created successfully
"
"ArchiveServices.yaml";"C:\Projects\universal-api-center\labs\import-bian\.temp\release12.0.0\semantic-apis\oas3\yamls\ArchiveServices.yaml";".yaml";"79385";"0";"33";"OK";"OK";"OK";"WARNING: This command is in preview and under development. Reference and support levels: https://aka.ms/CLI_refstatus
WARNING: API was created successfully
WARNING: API version was created successfully
WARNING: API definition was created successfully
WARNING: API specification was created successfully
"
"AssetAndLiabilityManagement.yaml";"C:\Projects\universal-api-center\labs\import-bian\.temp\release12.0.0\semantic-apis\oas3\yamls\AssetAndLiabilityManagement.yaml";".yaml";"26655";"0";"7";"OK";"OK";"OK";"WARNING: This command is in preview and under development. Reference and support levels: https://aka.ms/CLI_refstatus
WARNING: API was created successfully
WARNING: API version was created successfully
WARNING: API definition was created successfully
WARNING: API specification was created successfully
"
"AssetSecuritization.yaml";"C:\Projects\universal-api-center\labs\import-bian\.temp\release12.0.0\semantic-apis\oas3\yamls\AssetSecuritization.yaml";".yaml";"55875";"0";"24";"OK";"OK";"OK";"WARNING: This command is in preview and under development. Reference and support levels: https://aka.ms/CLI_refstatus
WARNING: API was created successfully
WARNING: API version was created successfully
WARNING: API definition was created successfully
WARNING: API specification was created successfully
"
"ATMNetworkOperations.yaml";"C:\Projects\universal-api-center\labs\import-bian\.temp\release12.0.0\semantic-apis\oas3\yamls\ATMNetworkOperations.yaml";".yaml";"77509";"0";"32";"OK";"OK";"OK";"WARNING: This command is in preview and under development. Reference and support levels: https://aka.ms/CLI_refstatus
WARNING: API was created successfully
WARNING: API version was created successfully
WARNING: API definition was created successfully
WARNING: API specification was created successfully
"
